t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1754434305,2808,190.840831,56.327912,16.908288,34.122300,71.303167,81.264639,101.711871,108.527615,168.820735,187.695103,75.222576,30.703895,6.438785,2.163517,calls/second,milliseconds
1754434315,6377,190.840831,49.875455,16.908288,29.639652,37.486591,74.973183,95.420415,102.760447,106.954751,184.549375,134.708956,81.284381,18.038943,6.120697,calls/second,milliseconds
1754434325,9286,190.840831,51.444401,16.711680,30.792065,53.477375,75.497471,98.041855,102.236159,105.906175,185.597951,161.946481,119.839089,28.355579,9.730099,calls/second,milliseconds
1754434335,11082,205.520895,57.543000,16.711680,33.254304,70.778879,85.983231,100.139007,103.284735,106.954751,185.597951,164.568946,128.676371,33.239241,11.581758,calls/second,milliseconds
1754434345,14600,205.520895,54.650924,15.990784,32.565362,68.157439,78.118911,99.614719,102.236159,105.906175,184.549375,188.762152,156.506833,42.230987,14.847166,calls/second,milliseconds
1754434355,17712,205.520895,54.050930,15.859712,32.384049,67.633151,77.070335,99.090431,101.711871,104.857599,183.500799,202.782550,186.937670,52.501359,18.612742,calls/second,milliseconds
1754434459,2389,186.646527,66.156164,16.777216,36.330687,74.448895,96.468991,105.381887,115.867647,176.160767,185.597951,54.114106,20.980421,4.675641,1.834314,calls/second,milliseconds
1754434469,4037,188.743679,78.693590,16.777216,36.283236,95.944703,99.614719,105.906175,179.306495,183.500799,187.695103,74.531194,48.451851,11.125852,4.042476,calls/second,milliseconds
1754434479,6988,188.743679,68.399111,16.252928,36.737690,76.021759,98.041855,104.333311,111.149055,181.403647,187.695103,108.900770,75.474437,18.065848,6.456770,calls/second,milliseconds
1754434489,10624,188.743679,60.051259,16.252928,34.984978,70.778879,93.847551,103.284735,106.430463,177.209343,186.646527,143.223854,117.691394,28.958899,10.256229,calls/second,milliseconds
1754434499,14326,188.743679,55.693155,15.663104,33.619185,68.157439,77.594623,102.236159,105.381887,111.149055,186.646527,170.192071,157.485291,40.365792,14.307503,calls/second,milliseconds
1754434509,18058,188.743679,53.047182,15.663104,32.505273,66.322431,74.973183,101.187583,104.333311,107.479039,185.597951,191.755911,189.352820,51.009005,18.182568,calls/second,milliseconds
1754434636,3827,189.792255,41.441301,4.816896,36.550930,13.500415,82.313215,92.274687,96.993279,100.663295,109.051903,81.641945,46.931264,12.170060,6.078154,calls/second,milliseconds
1754434646,8562,189.792255,37.191808,4.816896,35.087044,12.189695,79.691775,88.080383,92.798975,96.468991,106.430463,150.405173,111.697103,27.140224,11.191056,calls/second,milliseconds
1754434656,13697,189.792255,34.924608,4.587520,34.273269,11.468799,78.643199,85.983231,90.701823,94.371839,105.381887,204.562049,172.097986,42.796660,16.643413,calls/second,milliseconds
1754434666,18875,189.792255,33.819890,4.227072,33.811117,11.141119,78.118911,84.934655,89.128959,92.274687,103.809023,245.249124,225.076839,58.357292,22.177460,calls/second,milliseconds
1754434676,24111,189.792255,33.106612,4.227072,33.555812,10.878975,78.118911,84.410367,88.080383,91.226111,102.760447,277.250717,271.421169,73.720900,27.755515,calls/second,milliseconds
1754434686,29443,189.792255,32.545849,4.227072,33.212061,10.813439,77.594623,83.886079,87.031807,90.177535,102.236159,303.656646,311.671654,88.787094,33.340781,calls/second,milliseconds
1754434696,34823,189.792255,32.111038,4.227072,32.767655,10.878975,77.070335,83.361791,86.507519,89.653247,101.187583,325.549795,344.921644,103.187899,38.806763,calls/second,milliseconds
1754434706,37560,696.254463,34.026271,4.227072,34.861133,11.141119,77.594623,86.507519,93.847551,96.993279,114.819071,321.123684,343.136542,110.823612,42.096888,calls/second,milliseconds
1754434716,41336,696.254463,34.792948,4.227072,35.251324,11.272191,77.594623,90.177535,95.944703,98.566143,114.819071,325.567545,341.287123,117.953281,45.254158,calls/second,milliseconds
1754434726,46810,696.254463,34.137441,4.227072,34.715876,11.272191,77.070335,88.604671,95.420415,98.566143,110.100479,341.775428,372.090549,131.831172,50.733679,calls/second,milliseconds
1754434736,52474,696.254463,33.499908,4.227072,33.974756,11.468799,76.021759,87.031807,94.896127,98.041855,109.051903,357.051995,401.408814,145.951268,56.387884,calls/second,milliseconds
1754434746,56688,696.254463,33.833074,4.227072,34.039703,11.665407,76.021759,89.128959,95.420415,98.566143,110.100479,360.967367,412.387498,156.753986,61.023197,calls/second,milliseconds
1754434756,59048,696.254463,35.198354,4.227072,34.968054,11.862015,76.546047,92.798975,96.993279,99.614719,175.112191,353.492616,386.766613,159.673890,63.065716,calls/second,milliseconds
1754434766,61397,696.254463,36.447149,4.227072,35.749983,12.058623,77.594623,94.371839,98.566143,100.663295,183.500799,346.799713,364.050999,162.257462,65.003386,calls/second,milliseconds
1754434776,63886,696.254463,37.529781,4.227072,36.371119,12.320767,78.118911,95.420415,99.090431,101.187583,185.597951,341.563262,344.969087,164.775703,66.925505,calls/second,milliseconds
1754434786,66386,696.254463,38.529009,4.227072,36.891422,12.517375,79.167487,95.944703,99.614719,101.711871,185.597951,336.922852,330.124141,167.513764,68.929602,calls/second,milliseconds
1754434796,68876,696.254463,39.456237,4.227072,37.361185,12.648447,79.691775,96.468991,99.614719,101.711871,185.597951,332.793142,318.341765,170.334532,70.969972,calls/second,milliseconds
1754434806,72689,696.254463,39.588473,4.227072,37.360886,12.779519,79.691775,96.468991,99.614719,101.711871,185.597951,335.028034,321.117550,175.684551,73.865762,calls/second,milliseconds
1754434816,77597,696.254463,39.144577,4.227072,36.985747,12.845055,79.167487,95.944703,99.614719,101.711871,185.597951,341.892646,347.326818,186.048321,78.483803,calls/second,milliseconds
1754434826,80505,696.254463,39.713142,4.227072,37.116746,13.172735,79.167487,96.468991,99.614719,102.236159,185.597951,339.735405,343.941650,190.668448,81.232665,calls/second,milliseconds
1754434836,83302,696.254463,40.305005,4.227072,37.243323,13.631487,79.691775,96.468991,100.139007,102.760447,185.597951,337.304227,334.516879,193.671504,83.453534,calls/second,milliseconds
1754434846,86229,696.254463,40.789143,4.227072,37.350972,14.024703,79.691775,96.468991,100.139007,103.284735,185.597951,335.568617,328.431767,196.990032,85.789919,calls/second,milliseconds
1754434856,89173,696.254463,41.238528,4.227072,37.433168,14.352383,80.216063,96.468991,100.663295,103.284735,185.597951,334.026364,323.031980,200.139307,88.079701,calls/second,milliseconds
1754434866,93257,696.254463,41.148843,4.227072,37.352729,14.417919,80.216063,96.468991,100.139007,103.284735,185.597951,336.711495,328.479251,205.249793,91.035782,calls/second,milliseconds
1754434876,98635,696.254463,40.526539,4.227072,37.034797,14.221311,79.691775,96.468991,100.139007,102.760447,185.597951,343.719410,361.281691,216.316988,96.029184,calls/second,milliseconds
1754434886,101185,696.254463,41.084310,4.227072,37.314859,14.352383,79.691775,96.468991,100.139007,102.760447,185.597951,340.642677,352.905165,219.340528,98.380747,calls/second,milliseconds
1754434896,104921,696.254463,41.147561,4.227072,37.420690,14.286847,80.216063,96.993279,100.663295,103.284735,186.646527,341.802736,347.398562,222.466373,100.766524,calls/second,milliseconds
1754434906,110185,696.254463,40.633654,4.227072,37.215326,14.024703,79.691775,96.468991,100.139007,102.760447,185.597951,347.629902,376.191140,232.712116,105.564598,calls/second,milliseconds
1754434916,115763,696.254463,40.056399,4.227072,36.847200,14.024703,79.167487,96.468991,100.139007,102.760447,185.597951,354.057771,402.094194,242.936498,110.414974,calls/second,milliseconds
1754434926,119682,696.254463,40.082071,4.227072,37.358161,14.024703,78.643199,96.468991,100.139007,102.760447,187.695103,355.096015,409.358711,249.791809,114.194668,calls/second,milliseconds
1754434936,122243,696.254463,40.549410,4.227072,37.572095,14.155775,79.167487,96.468991,100.139007,102.760447,187.695103,352.322153,385.663106,249.962608,115.750519,calls/second,milliseconds
1754434946,124713,696.254463,41.028815,4.227072,37.819201,14.286847,79.691775,96.993279,100.663295,103.284735,188.743679,349.371770,364.434005,249.881082,117.206210,calls/second,milliseconds
