t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1754434305,0,0.000000,0.000000,0.000000,0.000000,events/second
1754434315,2,0.042238,0.031982,0.006611,0.002216,events/second
1754434325,2,0.034873,0.027072,0.006395,0.002192,events/second
1754434335,3,0.044543,0.038907,0.009491,0.003275,events/second
1754434345,7,0.090496,0.080908,0.019097,0.006563,events/second
1754434355,8,0.091584,0.097912,0.024973,0.008695,events/second
1754434459,0,0.000000,0.000000,0.000000,0.000000,events/second
1754434469,0,0.000000,0.000000,0.000000,0.000000,events/second
1754434479,0,0.000000,0.000000,0.000000,0.000000,events/second
1754434489,1,0.013480,0.014713,0.003251,0.001102,events/second
1754434499,1,0.011879,0.012454,0.003144,0.001090,events/second
1754434509,5,0.053088,0.042524,0.009653,0.003294,events/second
1754434636,0,0.000000,0.000000,0.000000,0.000000,events/second
1754434646,0,0.000000,0.000000,0.000000,0.000000,events/second
1754434656,2,0.029863,0.030704,0.006557,0.002210,events/second
1754434666,4,0.051967,0.055415,0.012844,0.004389,events/second
1754434676,7,0.080486,0.077612,0.018980,0.006551,events/second
1754434686,11,0.113435,0.144374,0.034831,0.012012,events/second
1754434696,14,0.130874,0.152913,0.040246,0.014090,events/second
1754434706,15,0.128236,0.158863,0.045429,0.016138,events/second
1754434716,17,0.133888,0.134475,0.043940,0.015959,events/second
1754434726,19,0.138715,0.159247,0.052307,0.019095,events/second
1754434736,29,0.197317,0.289596,0.083431,0.029940,events/second
1754434746,31,0.197387,0.289276,0.090449,0.032914,events/second
1754434756,34,0.203533,0.292840,0.097401,0.035875,events/second
1754434766,34,0.192038,0.247884,0.094207,0.035478,events/second
1754434776,36,0.192543,0.241811,0.097730,0.037302,events/second
1754434786,38,0.192845,0.219401,0.097777,0.037992,events/second
1754434796,40,0.193264,0.232414,0.104434,0.040890,events/second
1754434806,41,0.188965,0.212725,0.104316,0.041547,events/second
1754434816,43,0.189450,0.210772,0.107453,0.043297,events/second
1754434826,43,0.181457,0.178414,0.103930,0.042819,events/second
1754434836,45,0.182207,0.183007,0.107135,0.044562,events/second
1754434846,47,0.182900,0.170903,0.106928,0.045178,events/second
1754434856,47,0.176049,0.159379,0.106674,0.045780,events/second
1754434866,49,0.176914,0.134911,0.103176,0.045274,events/second
1754434876,53,0.184687,0.174329,0.112853,0.049188,events/second
1754434886,54,0.181788,0.191704,0.118906,0.051950,events/second
1754434896,57,0.185685,0.192977,0.121565,0.053586,events/second
1754434906,61,0.192446,0.242029,0.134053,0.058528,events/second
1754434916,67,0.204911,0.280993,0.146023,0.063403,events/second
1754434926,71,0.210652,0.312696,0.157546,0.068218,events/second
1754434936,73,0.210392,0.296674,0.158992,0.069680,events/second
1754434946,76,0.212902,0.280554,0.160282,0.071114,events/second
